,Year,Name,College,POS,Height (in),Weight (lbs),Hand Size (in),Arm Length (in),Wonderlic,40 Yard,Bench Press,Vert Leap (in),Broad Jump (in),Shuttle,3Cone,60Yd Shuttle
255,2018,Simmie Cobbs,Indiana,WR,75.13,220,9.25,32,,4.64,11,30,113,4.32,6.7,11.2
256,2018,Keke Coutee,Texas Tech,WR,69.75,181,8.38,29.88,,4.43,14,34.5,113,4.15,6.93,
257,2018,Jawill Davis,Bethune-Cookman (FL),WR,72.88,191,9,32.5,,4.38,14,39,123,4.56,7.52,
258,2018,John Diarse,Texas Christian,WR,71.38,211,9.75,33.625,,4.58,14,33.5,121,4.4,7.19,
259,2018,Armanti Foreman,Texas,WR,71.75,205,10,32,,4.58,17,35,120,4.28,7.23,
260,2018,Robert Foster,Alabama,WR,73.63,196,9.25,32.13,,4.41,,31,116,4.2,6.9,11.9
261,2018,Daurice Fountain,Northern Iowa,WR,73.5,206,10.13,34,,4.51,14,42.5,134,4.29,7.02,
262,2018,Russell Gage,Louisiana State,WR,72,186,9.13,33,,4.5,15,39,122,4.25,7.03,
263,2018,Michael Gallup,Colorado State,WR,72.75,205,9.25,31.5,,4.51,10,36,122,4.37,6.95,11.84
264,2018,Donald Gray,Mississippi State,WR,69.63,204,9.25,32.25,,4.62,16,32,118,4.41,7.12,
265,2018,Davon Grayson,East Carolina (NC),WR,72.75,199,9.38,31.38,,4.51,19,34.5,124,4.4,7.14,
266,2018,Daesean Hamilton,Penn State,WR,72.63,203,9.38,31,,4.52,16,34.5,118,4.15,6.84,
267,2018,Quadree Henderson,Pittsburgh,WR,68,192,9.88,29.5,,4.5,12,32.5,120,4.28,6.89,
268,2018,Ishmael Hyman,James Madison (VA),WR,72,196,8.63,31.625,,4.45,,30,116,4.37,7.14,
269,2018,Richie James,Middle Tennessee State,WR,70.13,183,9.25,31.25,,4.48,6,35.5,122,4.16,6.87,11.44
270,2018,Adonis Jennings,Temple,WR,74.25,203,9.38,32.625,,4.57,,31,116,4.31,7.06,
271,2018,Ricky Jeune,Georgia Tech,WR,74.13,213,9.63,32.5,,4.56,15,36,119,4.39,6.96,
272,2018,Garrett Johnson,Kentucky,WR,70.25,169,8.75,30.375,,4.5,12,40,118,4.26,6.81,
273,2018,Christian Kirk,Texas A&M,WR,70.38,201,9.88,30.38,,4.47,20,35.5,115,4.45,7.09,12.03
274,2018,Keith Kirkwood,Temple,WR,74.5,221,9.5,33.75,,4.45,,35,125,4.43,6.94,
275,2018,Chris Lacy,Oklahoma State,WR,75,205,9.75,31.25,,4.51,11,33.5,120,4.6,7.29,
276,2018,Jordan Lasley,UCLA,WR,73,203,9.63,32.75,,4.5,8,34.5,112,4.19,7.27,
277,2018,Allen Lazard,Iowa State,WR,76.63,227,9.75,32.25,,4.55,17,38,122,4.33,7.11,
278,2018,Tavares Martin,Washington State,WR,72.63,177,9.13,32.13,,4.8,,31.5,111,4.52,7.09,
279,2018,Ray-Ray Mccloud,Clemson,WR,69.5,190,9.25,30.25,,4.53,13,34.5,113,4.32,6.89,
280,2018,Anthony Miller,Memphis,WR,71.13,201,10.63,31.63,,4.5,22,39,125,4.26,6.65,
281,2018,Steven Mitchell,Southern California,WR,70.25,189,9.38,30.38,,4.56,13,32.5,121,4.4,6.75,
282,2018,D.J. Moore,Maryland,WR,72,210,9.63,31.63,,4.42,15,39.5,132,4.07,6.95,11.18
283,2018,JMon Moore,Missouri,WR,74.63,207,9.38,32.88,,4.6,21,38,120,4.04,6.56,
284,2018,Charles Nelson,Oregon,WR,68.13,176,8.25,28.875,,4.57,16,31.5,114,4.35,7.06,
285,2018,Dante Pettis,Washington,WR,72.5,186,9.5,32.25,,,,,,,,
286,2018,Cam Phillips,Virginia Tech,WR,72.13,201,8.88,30.5,,4.79,12,29.5,113,4.45,7.19,
287,2018,Demornay Pierson-El,Nebraska,WR,68.63,194,9.63,30.875,,4.57,14,37.5,120,4.28,6.98,
288,2018,Brandon Powell,Florida,WR,68,181,8.88,29.25,,4.59,,32,115,4.15,6.88,
289,2018,Byron Pringle,Kansas State,WR,73.13,203,9.25,32,,4.46,15,33.5,120,4.4,6.87,
290,2018,Austin Proehl,North Carolina,WR,69.13,182,8.5,28.875,,,11,34,113,4.07,6.75,
291,2018,Trey Quinn,Southern Methodist (TX),WR,71.38,203,10.13,30.75,,4.55,17,33.5,116,4.19,6.91,11.4
292,2018,Damion Ratley,Texas A&M,WR,73.75,196,9.5,31,,4.39,12,38,124,4.23,6.92,
293,2018,Calvin Ridley,Alabama,WR,72.5,189,9.13,31.625,,4.43,15,31,110,4.41,6.88,
294,2018,Korey Robertson,Southern Mississippi,WR,72.63,212,9.13,32.875,,4.56,13,34,123,4.4,7.55,
295,2018,Terryon Robinson,Western Carolina,WR,69.63,194,8.88,31.5,,4.65,13,33,112,4.64,7.7,
296,2018,Shaq Roland,West Georgia,WR,72.63,184,8.38,31.25,,4.62,,30,112,4.44,6.9,
297,2018,Devin Ross,Colorado,WR,69.38,192,9.25,30.875,,4.52,16,35,123,4.23,6.94,
298,2018,Jaleel Scott,New Mexico State,WR,76.75,218,10,33.5,,4.56,16,34.5,124,4.4,7.2,
299,2018,Trent Sherfield,Vanderbilt,WR,72.25,203,9.63,31.875,,4.45,19,32.5,125,4.2,6.9,
300,2018,Cam Sims,Alabama,WR,75.63,212,9.63,33.25,,4.59,,34,123,4.49,7.57,
301,2018,Jordan Smallwood,Oklahoma,WR,74,219,9.13,31,,4.53,21,39,130,4.26,6.95,
302,2018,Thadd Smith,Boston College,WR,68.38,167,8.88,29.25,,4.51,10,34,120,4.43,7,
303,2018,TreQuan Smith,Central Florida,WR,73.75,203,9.5,33.375,,4.49,12,37.5,130,4.5,6.97,
304,2018,Kevin Spears,Jacksonville State (AL),WR,73.75,202,9.75,31.5,,4.69,4,,113,4.35,7.11,
305,2018,Equanimeous St. Brown,Notre Dame,WR,76.75,214,9.75,33,,4.48,20,34.5,,,,
306,2018,Courtland Sutton,Southern Methodist (TX),WR,75.38,218,9.75,32.375,,4.54,18,35.5,124,4.11,6.57,
307,2018,Auden Tate,Florida State,WR,76.88,228,9.38,33.75,,4.68,,31,112,4.58,7.37,
308,2018,Marquez Valdes-Scantling,South Florida,WR,76,206,10,32.25,,4.37,15,30.5,124,4.17,6.85,
309,2018,James Washington,Oklahoma State,WR,71,213,9.75,32.375,,4.54,14,34.5,120,4.32,7.11,
310,2018,Justin Watson,Pennsylvania,WR,74.38,215,9.25,33.75,,4.44,20,40,124,4.26,7.08,
311,2018,Jester Weah,Pittsburgh,WR,74.25,211,9.63,31.125,,4.43,15,38,129,4.41,7.24,
312,2018,KaRaun White,West Virginia,WR,73,206,9.63,32.25,,4.52,24,33.5,118,4.57,7.16,
313,2018,Jake Wieneke,South Dakota State,WR,76,221,9.88,33,,4.67,9,34,114,4.37,7.24,
314,2018,Taj Williams,Texas Christian,WR,74.88,199,9.25,32.125,,4.5,,34,124,4.44,7.05,
315,2018,Cedrick Wilson,Boise State,WR,74.25,197,9.75,31.5,,4.55,9,37,121,4.23,6.89,
316,2018,Javon Wims,Georgia,WR,74.88,215,9.25,31.5,,4.53,,33.5,113,4.53,7,
317,2017,Ishmael Adams,UCLA,WR,67.88,186,9,29.75,,4.5,15,27,111,4.25,7.03,
318,2017,Rodney Adams,South Florida,WR,73.25,189,9,32,,4.44,8,29.5,125,4.28,6.98,11.39
319,2017,Quincy Adeboyejo,Mississippi,WR,74.75,197,9.38,31.75,,4.42,8,34.5,123,4.14,6.73,
320,2017,Tommy Armstrong,Nebraska,WR,72.38,216,9.88,31,,4.57,16,37.5,123,4.11,6.76,
321,2017,Josh Atkinson,Tulsa (OK),WR,72.25,200,10.25,32.625,,4.74,12,33,115,4.39,7.03,
322,2017,Victor Bolden,Oregon State,WR,68.13,178,9,31.13,,4.54,9,32,117,4.22,6.83,11.14
323,2017,Kendrick Bourne,Eastern Washington,WR,73.25,203,9.13,32.5,,4.68,9,34,125,4.21,6.73,12.21
324,2017,Billy Brown,Shepherd (WV),WR,75.38,254,10.38,33,,4.7,23,29,118,4.14,6.9,11.75
325,2017,Noah Brown,Ohio State,WR,74,222,9.13,31.75,,4.56,19,,,4.33,7.07,
326,2017,KD Cannon,Baylor,WR,71.13,182,8.88,30.75,,4.41,13,37,119,4.2,7.1,
327,2017,Jehu Chesson,Michigan,WR,74.75,204,9.13,33.25,,4.47,10,35.5,132,4.09,6.7,
328,2017,Stacy Coley,Miami (FL),WR,72.13,195,9.75,32.25,,4.45,10,34,122,4.39,7.19,
329,2017,Amara Darboh,Michigan,WR,73.75,214,9.88,32.63,,4.45,17,36,124,4.26,6.81,11.88
330,2017,Corey Davis,Western Michigan,WR,74.75,209,9.13,33,31,,,,,4.28,,11.48
331,2017,Marcus Davis,Auburn,WR,69,179,9.75,30,,4.53,,31.5,114,4.46,7.49,
332,2017,Reggie Davis,Georgia,WR,71.63,158,9.25,31.75,,4.36,4,32,115,4.12,6.94,
333,2017,Reginald Davis,Texas Tech,WR,71.75,182,9.25,31,,4.44,9,35,124,4.3,6.76,
334,2017,Robert Davis,Georgia State,WR,74.75,219,9.63,33,,4.44,19,41,136,4.28,6.82,11.77
335,2017,Malachi Dupre,Louisiana State,WR,74.13,196,9,31.5,,4.52,11,39.5,135,4.26,7.19,
336,2017,Travin Dural,Louisiana State,WR,73,202,9,32,,4.57,,30.5,116,4.55,7.29,
337,2017,Amba Etta-Tawo,Syracuse,WR,73.25,208,9.13,32,,4.49,14,31,126,4.32,6.95,
338,2017,Isaiah Ford,Virginia Tech,WR,73.25,194,9.25,32.63,,4.61,14,35.5,127,4.34,6.94,
339,2017,Ahmad Fulwood,Florida,WR,76.13,202,9.25,32,,4.51,,34.5,124,4.38,7.29,
340,2017,Shelton Gibson,West Virginia,WR,71.13,191,8.88,32,,4.5,8,32,118,4.2,6.83,11.79
341,2017,Chris Godwin,Penn State,WR,73,209,9.13,31.625,,4.42,19,36,125,4,7.01,
342,2017,Kenny Golladay,Northern Illinois,WR,75.75,218,9.75,32,,4.5,18,35.5,120,4.15,7,
343,2017,Deante Gray,Texas Christian,WR,67.88,184,7.88,30.25,,4.43,12,32.5,115,4.28,7.01,
344,2017,Trey Griffey,Arizona,WR,74.13,209,9.75,32.125,,4.59,17,32.5,118,4.5,7.32,
345,2017,Chad Hansen,California,WR,73.75,202,10.13,32.13,,4.53,11,35,119,4.13,6.74,11.17
346,2017,Justin Hardee,Illinois,WR,72.63,197,9.5,32.25,,4.36,17,34.5,129,4.26,7.28,
347,2017,Keon Hatcher,Arkansas,WR,73.25,212,9.5,32,,4.64,16,,,4.28,,
348,2017,Carlos Henderson,Louisiana Tech,WR,70.75,199,9.13,31.38,,4.46,13,36,131,4.35,7.18,
349,2017,Krishawn Hogan,Marian (IN),WR,74.63,222,9.88,32.13,,4.56,13,36.5,124,4.21,6.74,
350,2017,Mack Hollins,North Carolina,WR,75.75,221,9.75,33.25,,4.53,,,,,,
351,2017,Brandon Holloway,Mississippi State,WR,67,160,9,29.75,,4.34,,38.5,122,4.09,6.87,
352,2017,Bug Howard,North Carolina,WR,75.63,221,10.38,33.13,,4.58,15,37.5,119,4.14,6.95,
353,2017,Zay Jones,East Carolina (NC),WR,73.88,201,9,32.5,,4.45,15,36.5,133,4.01,6.79,
354,2017,Cooper Kupp,Eastern Washington,WR,73.75,204,9.5,31.5,37,4.62,,31,116,4.08,6.75,
355,2017,Jerome Lane,Akron,WR,74.13,226,9.75,31.5,,4.6,16,35,125,4.12,6.87,
356,2017,Keevan Lucas,Tulsa (OK),WR,69.13,192,9.88,31.88,,4.55,11,32.5,119,4.43,7.23,
357,2017,Josh Malone,Tennessee,WR,74.63,208,9.63,31.38,,4.4,10,30.5,121,4.19,7.05,11.32
358,2017,Gabe Marks,Washington State,WR,70.75,189,8.75,30.38,,4.56,11,29.5,117,4.2,7.01,
359,2017,Isaiah McKenzie,Georgia,WR,67.25,173,8.88,28.875,,4.42,11,36,123,4.15,6.64,
360,2017,Alonzo Moore,Nebraska,WR,72.88,199,9.88,31.625,,4.47,,32,119,4.17,6.79,
361,2017,David Moore,East Central (OK),WR,72.63,219,9.5,30.625,,4.43,26,36.5,124,4.38,6.98,
362,2017,Drew Morgan,Arkansas,WR,71.75,190,9.5,30.38,,4.74,10,30,112,4.12,6.85,11.31
363,2017,Speedy Noil,Texas A&M,WR,71.13,199,9.25,30,,4.45,18,43.5,133,,,
364,2017,Francis Owusu,Stanford,WR,74.5,221,9,32,,4.37,12,39,127,4.13,7.07,
365,2017,Zach Pascal,Old Dominion (VA),WR,73.75,219,10,32,,4.55,14,36,126,4.29,7.11,
366,2017,James Quick,Louisville,WR,72.25,186,9,30.75,,4.6,11,31,115,4.39,7,
367,2017,Michael Rector,Stanford,WR,72.13,193,9.25,32.5,,4.42,13,36.5,129,4.19,6.77,
368,2017,Josh Reynolds,Texas A&M,WR,74.75,194,9.38,31.5,,4.52,,37,124,4.13,6.83,11.68
369,2017,Jalen Robinette,Air Force,WR,74.75,220,10.88,32.38,,4.62,13,31.5,120,4.46,6.77,
370,2017,Darreus Rogers,Southern California,WR,72.63,216,10.13,32,,4.9,8,26.5,112,4.54,7.22,11.39
371,2017,Fred Ross,Mississippi State,WR,72.63,213,9.25,31.25,,4.51,10,35,113,4.28,6.99,
372,2017,John Ross,Washington,WR,70.75,188,8.75,31.5,16,4.22,,37,133,4.33,,
373,2017,Travis Rudolph,Florida State,WR,72.25,189,9.25,31.88,,4.65,12,31.5,114,4.46,6.93,
374,2017,Curtis Samuel,Ohio State,WR,71,196,9.5,31.25,22,4.31,18,37,119,4.33,7.09,
375,2017,Kendall Sanders,Arkansas State,WR,70.88,196,10.25,32.5,,4.56,15,39,128,4.62,7.55,
376,2017,Artavis Scott,Clemson,WR,70.25,193,9.38,31,,4.61,13,31,116,4.49,7.19,
377,2017,Ricky Seals-Jones,Texas A&M,WR,76.63,243,9.63,33.13,,4.69,17,28,121,4.33,7.46,
378,2017,R.J. Shelton,Michigan State,WR,70.25,200,9,30.25,,4.64,17,32,109,4.23,6.91,
379,2017,Corey Smith,Ohio State,WR,72.25,183,9.13,30.625,,4.71,,35,117,4.23,7.28,
380,2017,JuJu Smith-Schuster,Southern California,WR,73.25,215,10.5,32.88,,4.54,15,32.5,120,5.01,6.93,
381,2017,Dwayne Stanford,Oregon,WR,75.25,213,10.63,33.5,,,17,,,,,
382,2017,Jamari Staples,Louisville,WR,75,195,9.5,33.5,,4.51,,36,130,4.14,,
383,2017,Tony Stevens,Auburn,WR,76,212,9.63,32.375,,4.49,12,34.5,126,4.34,7.15,
384,2017,ArDarius Stewart,Alabama,WR,71.25,204,9.38,32.5,20,4.49,,34,124,4.21,,11.23
385,2017,Manny Stocker,Pittsburgh,WR,73.38,210,9.5,31,,4.51,,33,127,4.38,7.24,
386,2017,Damoreea Stringfellow,Mississippi,WR,73.88,218,10.63,33.25,,4.62,17,36,130,4.54,7.25,
387,2017,Ryan Switzer,North Carolina,WR,68.5,181,9.25,28,,4.51,11,32,116,4,6.77,11.14
388,2017,Taywan Taylor,Western Kentucky,WR,71,203,9.25,32.63,,4.5,13,33.5,132,4.21,6.57,
389,2017,Trent Taylor,Louisiana Tech,WR,67.63,181,8.25,28.75,,4.63,13,33,117,4.01,6.74,
390,2017,Noel Thomas,Connecticut,WR,72.13,205,8.75,30,,4.63,9,32.5,118,,,
391,2017,Chris Thompson,Florida,WR,71.13,171,9.25,31.125,,4.48,6,34.5,121,4.25,7,
392,2017,Ryan Timmons,Kentucky,WR,70,201,8.38,29.625,,4.47,15,32,111,4.37,7.13,
393,2017,Greg Ward,Houston,WR,70.5,182,9.88,31.125,,4.59,10,34.5,115,4.31,6.9,
394,2017,Dede Westbrook,Oklahoma,WR,71.63,178,9,30.625,,4.39,8,34.5,120,4.34,7.2,
395,2017,Jordan Westerkamp,Nebraska,WR,71.25,194,9.38,30.5,,,,,,,,
396,2017,Robert Wheelwright,Wisconsin,WR,73.88,205,9.13,31.875,,4.6,15,38,128,4.14,6.68,
397,2017,Kermit Whitfield,Florida State,WR,67.75,185,8.5,30,,4.44,8,32.5,120,4.37,7.17,
398,2017,Chad Williams,Grambling State (LA),WR,72.5,207,9.75,32,,4.43,21,35.5,123,4.21,7.06,
399,2017,Jalen Williams,Massachusetts,WR,74.38,209,9.38,31,,4.55,14,40.5,119,,,
400,2017,Mike Williams,Clemson,WR,75.75,218,9.38,33.38,17,4.54,15,32.5,121,,,
401,2017,Dontre Wilson,Ohio State,WR,70.13,183,8.5,30.625,,4.58,,33,112,4.1,6.96,
402,2017,Jesus Wilson,Florida State,WR,69.13,189,9.38,31.375,,4.57,10,,119,4.57,,
403,2017,DeAngelo Yancey,Purdue,WR,73.63,220,9.75,32.875,,4.53,21,35.5,121,4.27,6.84,
404,2017,Ishmael Zamora,Baylor,WR,75.5,224,8.38,33,,4.53,13,34,120,4.31,7.16,
405,2016,Bralon Addison,Oregon,WR,69.25,197,9.13,29.5,,4.66,13,34.5,116,4.14,6.95,11.53
406,2016,Geronimo Allison,Illinois,WR,75.25,196,9.5,32.88,,4.67,,33,127,4.28,7.4,11.54
407,2016,Robby Anderson,Temple,WR,74.88,187,8.63,30,,4.36,8,36.5,128,4.27,7.07,
408,2016,Demarcus Ayers,Houston,WR,69.38,182,9.25,31.25,,4.72,,33,123,4.35,7.3,
409,2016,Moritz Boehringer,Schwabisch Hall,WR,76.5,227,9.5,32.625,,4.49,17,39,131,4.09,6.64,
410,2016,Tyler Boyd,Pittsburgh,WR,73.5,197,9.75,32,,4.58,11,34,119,4.35,6.9,
411,2016,Daniel Braverman,Western Michigan,WR,69.88,175,9.13,28.75,,4.53,10,28.5,112,4.16,6.88,
412,2016,Chris Brown,Notre Dame,WR,74,194,9,32.25,,4.5,14,33.5,130,4.41,7.37,
413,2016,Aaron Burbridge,Michigan State,WR,72,206,8.25,31.63,,4.56,20,30.5,115,4.31,7.22,11.9
414,2016,Devon Cajuste,Stanford,WR,75.75,234,10.75,33,,4.62,12,36,123,4.2,6.49,11.5
415,2016,Leonte Carroo,Rutgers,WR,71.88,211,9.63,31.38,,4.5,14,35.5,120,,,
416,2016,Corey Coleman,Baylor,WR,70.63,194,9,30.25,,4.4,17,40.5,129,,,
417,2016,Pharoh Cooper,South Carolina,WR,71.13,203,9.13,32.25,,4.65,15,31,115,4.26,7.15,
418,2016,Cody Core,Mississippi,WR,74.63,205,10.38,32,,4.47,14,31.5,119,4.34,6.78,
419,2016,Quinshad Davis,North Carolina,WR,75.38,218,9.63,33.375,,4.69,17,31.5,113,4.35,7.07,
420,2016,Trevor Davis,California,WR,73.13,188,10,31,,4.42,11,38.5,124,4.22,6.6,10.94
421,2016,Josh Doctson,Texas Christian,WR,74,202,9.88,31.88,,4.5,14,41,131,4.08,6.84,11.06
422,2016,D.J. Foster,Arizona State,WR,70.25,193,9.25,30.5,,4.57,14,35.5,117,4.07,6.75,11.12
423,2016,Devin Fuller,UCLA,WR,72,194,9.5,30.5,,4.39,,36,124,4.07,7.03,
424,2016,Will Fuller,Notre Dame,WR,72.13,186,8.25,30.75,,4.32,10,33.5,126,4.27,6.93,11.44
425,2016,Keyarris Garrett,Tulsa (OK),WR,75.38,220,9,34.5,,4.53,14,36.5,128,4.33,7.3,11.72
426,2016,Jakeem Grant,Texas Tech,WR,65.88,165,8.63,29.75,,4.37,15,36.5,117,4.03,7.03,
427,2016,Rashard Higgins,Colorado State,WR,73.38,196,9.75,32.25,,4.64,13,32,116,4.52,7.19,
428,2016,Tyreek Hill,West Alabama,WR,68.13,185,8,30.5,,4.29,13,40.5,129,4.06,6.53,
429,2016,Johnny Holton,Cincinnati,WR,72.63,190,9.88,32.88,,4.54,8,31.5,123,4.2,6.9,
430,2016,Daje Johnson,Texas,WR,68.38,184,8.88,27.875,,4.48,18,38,122,,,
431,2016,Marcus Johnson,Texas,WR,72.88,204,9.25,31.875,,4.39,22,37,135,4.39,7.26,
432,2016,Cayleb Jones,Arizona,WR,74.63,209,9.25,32.75,,4.65,9,33.5,112,4.14,6.99,11.46
433,2016,Malachi Jones,Appalachian State (NC),WR,73.75,211,9.63,32.25,,4.53,14,37.5,125,4.3,6.9,
434,2016,Kenny Lawler,California,WR,74.5,203,10.5,33.38,,4.64,,31,111,4.2,7.13,11.28
435,2016,Roger Lewis,Bowling Green (OH),WR,72.38,201,9.75,32,,4.57,8,33.5,116,4.45,7.58,
436,2016,Kolby Listenbee,Texas Christian,WR,72,197,8.25,31.38,,4.39,15,35.5,129,,,
437,2016,Ricardo Louis,Auburn,WR,73.75,215,9.5,32.38,,4.43,18,38,132,4.32,7.07,
438,2016,Devin Lucien,Arizona State,WR,72.5,201,10.13,31.875,,4.49,13,34.5,117,4.3,6.93,
439,2016,Byron Marshall,Oregon,WR,69.38,201,9.5,30.25,,4.56,17,29.5,111,4.19,6.99,
440,2016,Jalin Marshall,Ohio State,WR,70.5,200,9.63,31.5,,4.6,16,37.5,125,4.13,6.8,
441,2016,Mitch Mathews,Brigham Young,WR,77.63,222,10.38,32.75,,4.49,12,36,129,4.25,6.99,
442,2016,KJ Maye,Minnesota,WR,68.13,191,8.25,30.5,,4.61,10,33,113,4.35,7.18,
443,2016,Mekale McKay,Cincinnati,WR,75.63,207,9.5,30.63,,4.55,12,35,123,4.63,7.08,11.89
444,2016,Jaydon Mickens,Washington,WR,69.88,174,9,28.875,,4.54,13,35.5,121,3.93,6.62,
445,2016,Braxton Miller,Ohio State,WR,73.38,201,9.13,31.75,,4.5,17,35,123,4.07,6.65,10.84
446,2016,Malcolm Mitchell,Georgia,WR,71.63,198,10.5,32.63,,4.45,15,36,129,4.34,6.94,
447,2016,Chris Moore,Cincinnati,WR,73,206,9.38,33.38,,4.53,10,37,130,4.2,6.76,11.37
448,2016,Joe Morrow,Mississippi State,WR,75.63,211,8.63,33.875,,,,,,,,
449,2016,Durron Neal,Oklahoma,WR,71,194,9.25,30.5,,4.54,13,32.5,121,4.46,7.22,
450,2016,Dennis Norfleet,Tuskegee (AL),WR,66.25,159,8.5,27.5,,4.64,,30.5,115,4.32,6.77,
451,2016,Marquez North,Tennessee,WR,74.5,223,10.25,33.38,,4.48,17,35,123,4.13,6.9,
452,2016,Jordan Payton,UCLA,WR,73.13,207,10.13,32.5,,4.47,,34.5,121,4.33,7.08,
453,2016,Charone Peake,Clemson,WR,74.38,209,9.25,34,,4.45,12,35.5,122,4.46,6.96,11.69
454,2016,Latroy Pittman,Florida,WR,70.88,207,10,32.25,,4.69,14,29,103,4.75,7.28,
455,2016,Darius Powe,California,WR,74.88,220,9,33.5,,4.49,17,34.5,120,4.29,6.94,
456,2016,Demarcus Robinson,Florida,WR,73.38,203,9.5,33,,4.59,9,34.5,123,4.19,6.77,
457,2016,Devonte Robinson,Utah State,WR,73.25,188,8.88,30.25,,4.33,,38,128,4.38,7.33,
458,2016,Alonzo Russell,Toledo,WR,75.63,206,9.5,33.88,,4.54,12,29.5,112,4.33,7.18,11.88
459,2016,Rashawn Scott,Miami (FL),WR,72.88,199,9.38,31.38,,4.54,17,32.5,116,4.33,6.88,
460,2016,Canaan Severin,Virginia,WR,74.13,212,9.75,33.125,,,,,,,,
461,2016,Hunter Sharp,Utah State,WR,71.5,198,9.38,31.63,,4.58,12,32.5,116,4.19,7.12,11.4
462,2016,Tajae Sharpe,Massachusetts,WR,74,194,8.38,32.25,,4.55,11,33.5,114,,,
463,2016,Sterling Shepard,Oklahoma,WR,70.25,194,9.75,30.38,,4.48,20,41,123,4.35,7,
464,2016,Brandon Shippen,Temple,WR,70.63,195,9,30.375,,4.55,17,31.5,117,4.2,6.76,
465,2016,Nelson Spruce,Colorado,WR,73.13,206,10,30,,4.69,12,35,114,4.2,7.09,11.9
466,2016,Michael Thomas,Ohio State,WR,74.75,212,10.5,32.13,,4.57,18,35,126,4.13,6.8,11.7
467,2016,Mike Thomas,Southern Mississippi,WR,73.25,193,9.38,31.375,,4.54,16,36,126,4.26,7.06,
468,2016,Laquon Treadwell,Mississippi,WR,74,221,9.5,33.38,,4.64,12,33,117,4.3,7.04,
469,2016,Bryce Treggs,California,WR,71.38,190,9.13,30.875,,4.39,16,34,122,4.19,7,
470,2016,Damien Washington,North Carolina,WR,71.88,190,9,31.625,,4.47,16,35,122,4.31,6.82,
471,2016,Herb Waters,Miami (FL),WR,71.75,188,9.25,32.625,,4.51,14,38.5,121,4.1,6.73,
472,2016,Andrew Williams,Youngstown State (OH),WR,74.63,191,9.88,31.5,,4.67,13,38.5,126,4.32,7.13,
473,2016,Duke Williams,Auburn,WR,74.25,229,9.25,32.5,,4.72,14,30,121,4.47,7.43,
474,2016,DeRunnya Wilson,Mississippi State,WR,76.63,224,9.25,33.88,,4.85,13,28,113,4.52,7.21,
475,2015,Nelson Agholor,Southern California,WR,72.13,198,9.25,32.25,,4.42,12,36.5,125,4.34,6.83,
476,2015,Mario Alford,West Virginia,WR,68.5,180,9.38,31.25,,4.43,13,34,121,4.07,6.64,11.22
477,2015,Dres Anderson,Utah,WR,73.13,187,9.38,31.63,,4.53,13,,121,4.22,6.83,
478,2015,DeJuan Beard,Washburn (KS),WR,73,195,,,,4.56,,,,,,
479,2015,Kenny Bell,Nebraska,WR,73.13,197,9.25,31.63,,4.42,7,41.5,129,4.15,6.66,11.6
480,2015,Michael Bennett,Georgia,WR,73.63,202,10.25,33.63,,4.59,,,,,,
481,2015,Da'Ron Brown,Northern Illinois,WR,72.13,205,10.25,32,,4.54,17,37,120,4.11,7.04,
482,2015,Damiere Byrd,South Carolina,WR,69.25,162,8,29.875,,4.39,13,42,131,4.09,6.59,
483,2015,DeAndre Carter,Sacramento State (CA),WR,68.5,186,8.75,30.625,,4.48,17,38.5,126,3.8,6.64,
484,2015,Marquez Clark,Central Oklahoma,WR,70.25,190,10,32,,4.58,12,34,124,4.23,7.07,
485,2015,Kaelin Clay,Utah,WR,69.63,195,9,30.88,,4.51,10,33,113,4.26,6.97,
486,2015,Sammie Coates,Auburn,WR,73.38,212,9.38,33.38,14,4.43,23,41,131,4.06,6.98,11.81
487,2015,Chris Conley,Georgia,WR,73.88,213,9.88,33.75,,4.35,18,45,139,4.3,7.06,11.65
488,2015,Kenny Cook,Gardner-Webb (NC),WR,75.38,215,10.38,34.5,,4.56,12,33,120,4.37,7.13,
489,2015,Amari Cooper,Alabama,WR,72.88,211,10,31.5,21,4.42,,33,120,3.98,6.71,
490,2015,Jamison Crowder,Duke,WR,68.38,185,8.75,30.38,,4.56,10,37,115,4.32,7.17,
491,2015,DaVaris Daniels,Notre Dame,WR,73.5,201,9,31.25,,4.62,13,37,122,4.35,6.81,
492,2015,Andre Davis,South Florida,WR,72.88,207,9.5,34,,4.55,,32,118,4.33,7.09,
493,2015,Devante Davis,Nevada Las Vegas,WR,74.88,220,9.5,32.38,,4.57,16,35.5,115,4.12,7.25,11.6
494,2015,Geremy Davis,Connecticut,WR,74.38,216,9.5,32.25,,4.58,23,36.5,124,4.18,6.86,11.28
495,2015,Titus Davis,Central Michigan,WR,72.75,196,8.25,29.63,,4.51,,32.5,119,4.28,7.14,
496,2015,Andre Debose,Florida,WR,71.63,190,8.63,32.25,,4.49,12,37.5,123,4.09,6.93,
497,2015,Stefon Diggs,Maryland,WR,72,195,10,31.25,,4.46,11,35,115,4.32,7.03,
498,2015,Phillip Dorsett,Miami (FL),WR,69.75,185,9.38,30.25,,4.33,13,37,122,4.11,6.7,
499,2015,Quinton Dunbar,Florida,WR,73.63,195,9.5,32.625,,4.44,7,35,120,4.16,7.1,
500,2015,Lemar Durant,Simon Fraser (Canada),WR,73.63,231,10,31.125,,4.59,27,37,117,4.56,7.18,
